SL,Name of the Manufacturer,Brand Name,Generic Name,Strength,Dosages Description,Use For,DAR
970,FnF Pharmaceuticals Ltd.,Safvet,Fenbendazole,250 mg,Bolus,Veterinary,327-0006-077
971,FnF Pharmaceuticals Ltd.,Sat Vet,Sulphamethoxazole + Trimethoprim,1000 mg + 200 mg,Bolus,Veterinary,327-0008-077
972,FnF Pharmaceuticals Ltd.,Thiavin,Riboflavin + Vitamin B1,2 gm + 5 gm,Sachet,Veterinary,327-0014-077
973,FnF Pharmaceuticals Ltd.,Fenben,Fenbendazole,250 mg,Bolus,Veterinary,327-0023-077
974,FnF Pharmaceuticals Ltd.,Oxylev,Levamisole + Oxyclozanide,75 mg + 150 mg,Tablet,Veterinary,327-0022-077
975,FnF Pharmaceuticals Ltd.,Povet,Povidone Iodine,10 gm/100 ml,Topical Solution,Veterinary,327-0016-071
976,FnF Pharmaceuticals Ltd.,Appevet,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,327-0044-077
977,FnF Pharmaceuticals Ltd.,Phenvet,Pheniramine Maleate,22.75 mg/ml,Injection,Veterinary,327-0043-077
978,FnF Pharmaceuticals Ltd.,Enstrimb,Bromhexine + Erythromycin + Neomycin + Sulfadimidine + Trimethoprim,1.5 mg + 25 mg + 35 mg + 100 mg + 18 mg,Powder,Veterinary,327-0041-077
979,FnF Pharmaceuticals Ltd.,Flucide,Triclabendazole,900 mg,Bolus,Veterinary,327-0040-077
980,FnF Pharmaceuticals Ltd.,Niclovet PLUS,Levamisole + Niclosamide,75 mg + 1 gm,Bolus,Veterinary,327-0039-077
981,FnF Pharmaceuticals Ltd.,Antibac DS,Oxytetracycline,1 gm,Bolus,Veterinary,327-0038-077
982,FnF Pharmaceuticals Ltd.,Antibac 100,Oxytetracycline,10 gm/100 ml,Injection,Veterinary,327-0037-077
983,FnF Pharmaceuticals Ltd.,Gentavet 100,Gentamicin,100 mg/ml,Injection,Veterinary,327-0036-077
984,FnF Pharmaceuticals Ltd.,Adivit,Cyanocobalamin + Nicotinamide + Panthenol + Pyridoxine Hydrochloride + Riboflavin + Vitamin A + Vitamin B1 + Vitamin D3 + Vitamin E,50 mcg + 35 mg + 25 mg + 3 mg + 5 mg + 15000 IU + 10 mg + 1000 IU + 20 mg/100 ml,Solution,Veterinary,327-0035-077
985,FnF Pharmaceuticals Ltd.,Promevet,Promethazine Hydrochloride,50 mg/2 ml,Injection,Veterinary,327-0031-021
986,FnF Pharmaceuticals Ltd.,Niclemet,Levamisole + Metoclopramide + Niclosamide,50 mg + 2.5 mg + 450 mg,Tablet,Veterinary,327-0025-077
987,FnF Pharmaceuticals Ltd.,Bcovit,Cyanocobalamin + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,5 mg + 5 gm + 500 mg + 150 mg + 2.5 gm/100 ml,Injection,Veterinary,327-0030-077
988,FnF Pharmaceuticals Ltd.,Antibac,Oxytetracycline,5 gm/100 ml,Injection,Veterinary,327-0032-077
989,FnF Pharmaceuticals Ltd.,Catasol,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,327-0066-077
990,FnF Pharmaceuticals Ltd.,Depain 100,Diclofenac Sodium,100 mg,Capsule,Veterinary,327-0064-064
991,FnF Pharmaceuticals Ltd.,Amprosul K,Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,Veterinary,327-0056-077
992,FnF Pharmaceuticals Ltd.,Diacheck,Catechu + Chalk,10 gm + 150 gm/160 gm,Powder,Veterinary,327-0046-077
993,FnF Pharmaceuticals Ltd.,Gentavet,Gentamicin,50 mg/ml,Injection,Veterinary,327-0047-077
994,FnF Pharmaceuticals Ltd.,Nuoxin Vet Injection,Oxytocin,100 IU/10 ml,Injection,Veterinary,327-0078-077
995,FnF Pharmaceuticals Ltd.,Vetlevo,Levofloxacin,10 gm/100 gm,Oral Powder,Veterinary,327-0086-077
996,FnF Pharmaceuticals Ltd.,Cfcin Vet Inj (Vet),Ciprofloxacin,50 mg/ml,Injection,Veterinary,327-0088-077
997,FnF Pharmaceuticals Ltd.,Wormnil Vet Powder,Levamisole,30 gm/100 gm,Powder,Veterinary,327-0089-077
998,FnF Pharmaceuticals Ltd.,Cfcin Vet Solution,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,327-0087-077
999,FnF Pharmaceuticals Ltd.,Tiamuvet Powder,Tiamulin Hydrogen Fumerate,45%,Powder,Veterinary,327-0097-077
1000,FnF Pharmaceuticals Ltd.,Vita-C Vet Powder,Ascorbic Acid,25 gm/100 gm,Powder,Veterinary,327-0098-077
1001,FnF Pharmaceuticals Ltd.,F-Zinc Vet,Zinc,200 mg,Bolus,Veterinary,327-0102-077
1002,FnF Pharmaceuticals Ltd.,Mintra Vet Bolus,Cobalt + Copper + Iodine + Iron + Manganese + Selenium + Zinc,4 mg + 100 mg + 5 mg + 100 mg + 50 mg + 1 mg + 300 mg,Bolus,Veterinary,327-0103-077
1003,FnF Pharmaceuticals Ltd.,F-Tilco Vet Solution,Tilmicosin,250 mg/ml,Oral Solution,Veterinary,327-0104-077
1004,FnF Pharmaceuticals Ltd.,Trivit ADE Vet Forte,Vitamin A + Vitamin D3 + Vitamin E,50 Lac IU + 7.5 Lac IU + 500 mg/10 ml,Injection,Veterinary,327-0101-077
1005,FnF Pharmaceuticals Ltd.,Marflox Vet Inj,Marbofloxacin,100 mg/ml,Injection,Veterinary,327-0106-077
1006,FnF Pharmaceuticals Ltd.,Marflox Vet Bolus,Marbofloxacin,50 mg,Bolus,Veterinary,327-0094-077
1007,FnF Pharmaceuticals Ltd.,Dancin Vet Solution,Danofloxacin,5 gm/100 ml,Oral Solution,Veterinary,327-0116-077
1008,FnF Pharmaceuticals Ltd.,Dancin Vet Injection,Danofloxacin,2.5 gm/100 ml,Injection,Veterinary,327-0115-077
1009,FnF Pharmaceuticals Ltd.,Flocol Vet Solution,Florfenicol,20 gm/100 ml,Oral Solution,Veterinary,327-0114-077
1010,General Pharmaceuticals Ltd.,Imacef IM/IV,Ceftriaxone,1 gm/vial,Injection,Veterinary,240-0718-077
1011,General Pharmaceuticals Ltd.,Imacef Vet IM/IV,Ceftriaxone,2 gm/vial,Injection,Veterinary,240-0719-077
1012,General Pharmaceuticals Ltd.,Tolfagen vet IM/IV,Tolfenamic Acid,400 mg/10 ml,Injection,Veterinary,240-0723-077
1013,General Pharmaceuticals Ltd.,Tolfagen Vet IM/IV,Tolfenamic Acid,1.2 gm/30 ml,Injection,Veterinary,240-0722-077
1014,General Pharmaceuticals Ltd.,Clovergen Vet SC,Clorsulon + Ivermectin,500 mg + 50 mg/5 ml,Injection,Veterinary,240-0729-077
1015,General Pharmaceuticals Ltd.,Clovergen Vet SC,Clorsulon + Ivermectin,3 gm + 300 mg/30 ml,Injection,Veterinary,240-0730-077
1016,General Pharmaceuticals Ltd.,Genaprost vet IM,Cloprostenol,250 mcg/ml,Injection,Veterinary,240-0728-077
1017,General Pharmaceuticals Ltd.,Genaflu Vet IM/IV,Flunixin,1.5 gm/30 ml,Injection,Veterinary,240-0721-077
1018,General Pharmaceuticals Ltd.,Genaflu Vet IM/IV,Flunixin,500 mg/10 ml,Injection,Veterinary,240-0720-077
1019,General Pharmaceuticals Ltd.,Marcigen Vet,Marbofloxacin,100 mg,Bolus,Veterinary,240-0717-077
1020,General Pharmaceuticals Ltd.,Metastim Im/Iv,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,240-0725-077
1021,General Pharmaceuticals Ltd.,Hitagen vet,Pheniramine Maleate,22.75 mg/ml,Injection,Veterinary,240-0731-077
1022,General Pharmaceuticals Ltd.,Dexagen Plus Vet IV,Dexamethasone Sodium Phosphate + Prednisolone,40 mg + 200 mg/10 ml,Injection,Veterinary,240-0724-077
1023,General Pharmaceuticals Ltd.,Uniclav Vet 1.2 G IM/SC,Amoxicillin,2 gm/vial,Injection,Veterinary,240-0715-077
1024,General Pharmaceuticals Ltd.,Alzed Vet,Albendazole,10 gm/100 ml,Suspension,Veterinary,240-0602-077
1025,General Pharmaceuticals Ltd.,Tilphogen Vet,Tilmicosin,250 mg/ml,Oral Solution,Veterinary,240-0599-077
1026,General Pharmaceuticals Ltd.,Geflox 20 Vet WSP,Ciprofloxacin,200 gm/Kg,Powder,Veterinary,240-0601-077
1027,Globe Pharmaceuticals Ltd.,Almavet,Albendazole,600 mg,Bolus,Veterinary,083-0141-077
1028,Globe Pharmaceuticals Ltd.,Amp 20%,Tylosin,20 gm/100 gm,Powder,Veterinary,083-0216-077
1029,Globe Pharmaceuticals Ltd.,Anidox,Doxycycline,100 mg/gm,Powder,Veterinary,083-0143-077
1030,Globe Pharmaceuticals Ltd.,Bc Vet,Ascorbic Acid + Biotin + Cyanocobalamin + Folic Acid + Nicotinamide + Pantothenic acid + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,5 mg + 15 mcg + 100 mcg + 250 mcg + 7.5 mg + 4.5 mg + 1.5 mg + 4 mg + 2 mg/gm,Powder,Veterinary,083-0144-077
1031,Globe Pharmaceuticals Ltd.,Claben,Triclabendazole,900 mg,Bolus,Veterinary,083-0100-077
1032,Globe Pharmaceuticals Ltd.,Divet,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,083-0101-077
1033,Globe Pharmaceuticals Ltd.,En Vet,Enrofloxacin,100 mg/ml,Solution,Veterinary,083-0139-077
1034,Globe Pharmaceuticals Ltd.,Evm DB,Cobalt + Copper + Elemental Iron + Iodide + Magnesium + Manganese + Vitamin A + Vitamin D + Vitamin E + Zinc,6 mg + 800 mcg + 80 mg + 2.5 mg + 50 mg + 100 mcg + 10000 IU + 1000 IU + 10 mg + 45 mg,Powder,Veterinary,083-0217-077
1035,Globe Pharmaceuticals Ltd.,Fenvet,Fenbendazole,250 mg,Bolus,Veterinary,083-0073-077
1036,Globe Pharmaceuticals Ltd.,I Ver,Ivermectin,10 mg/ml,Injection,Veterinary,083-0218-077
1037,Globe Pharmaceuticals Ltd.,Helmavet,Mebendazole,750 mg,Bolus,Veterinary,083-0059-077
1038,Globe Pharmaceuticals Ltd.,Micovet 2 g,Metronidazole,2 gm,Bolus,Veterinary,083-0099-077
1039,Globe Pharmaceuticals Ltd.,Multivet WS Oral Powder Vet,Biotin + Cyanocobalamin + Folic Acid + Nicotinamide + Pantothenic acid + Pyridoxine Hydrochloride + Riboflavin + Vitamin A + Vitamin B1 + Vitamin C + Vitamin D + Vitamin E + Vitamin K,5 mg + 2 mg + 1 mcg + 2 mg + 2 mg + 4 mg + 4 mg + 10000 IU + 1.2 mg + 30 mg + 2500 IU + 4 mg + 3.2 mg,Powder,Veterinary,083-0064-077
1040,Globe Pharmaceuticals Ltd.,Oxyvet,Oxytetracycline,25%,Powder,Veterinary,083-0062-077
1041,Globe Pharmaceuticals Ltd.,Oxyvet,Oxytetracycline,5 gm/100 ml,Injection,Veterinary,083-0124-077
1042,Globe Pharmaceuticals Ltd.,Oxyvet,Oxytetracycline,500 mg,Bolus,Veterinary,083-0061-077
1043,Globe Pharmaceuticals Ltd.,Promin,Promethazine Hydrochloride,50 mg/2 ml,Injection,Veterinary,083-0142-021
1044,Globe Pharmaceuticals Ltd.,Trisol,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,083-0147-077
1045,Globe Pharmaceuticals Ltd.,Trivet,Sulphamethoxazole + Trimethoprim,10 gm + 2 gm/100 ml,Suspension,Veterinary,083-0102-077
1046,Globe Pharmaceuticals Ltd.,Ultramox,Amoxicillin,500 mg,Bolus,Veterinary,083-0084-077
1047,Globe Pharmaceuticals Ltd.,Ultramox VET,Amoxicillin,10%,Powder,Veterinary,083-0145-077
1048,Globe Pharmaceuticals Ltd.,Trivet,Sulphamethoxazole + Trimethoprim,1000 mg + 200 mg,Bolus,Veterinary,083-0063-077
1049,Globe Pharmaceuticals Ltd.,Pc Vet,Piperazine,100%,Powder,Veterinary,083-0167-077
1050,Globe Pharmaceuticals Ltd.,Kaprovet,Ciprofloxacin,10 gm,Solution,Veterinary,083-0172-077
1051,Globe Pharmaceuticals Ltd.,Dextrolyte,Dextrose Anhydrous + Potassium Chloride + Sodium Bicarbonate + Sodium Chloride + Vitamin A,4.5 gm + 1.25 gm + 12.5 gm + 6.65 gm + 50000 IU,Powder,Veterinary,083-0140-077
1052,Globe Pharmaceuticals Ltd.,Ade Vet,Vitamin A + Vitamin D3 + Vitamin E,3 Lac IU + 1 Lac IU + 50 mg,Injection,Veterinary,083-0225-077
1053,Globe Pharmaceuticals Ltd.,B Vet,Cyanocobalamin + Nicotinamide + Pyridoxine Hydrochloride + Riboflavin + Vitamin B1,5 mg + 5 gm + 500 mg + 150 mg + 2.5 gm/100 ml,Injection,Veterinary,083-0226-077
1054,Globe Pharmaceuticals Ltd.,Levs,Levamisole,30%,Powder,Veterinary,083-0171-077
1055,Globe Pharmaceuticals Ltd.,Sulid,Sulphanilamide,100%,Powder,Veterinary,083-0168-077
1056,Globe Pharmaceuticals Ltd.,Tribac Vet 1g,Ceftriaxone,1 gm/vial,Injection,Veterinary,083-0362-077
1057,Globe Pharmaceuticals Ltd.,Tribac Vet 2g,Ceftriaxone,2 gm/vial,Injection,Veterinary,083-0363-077
1058,Globe Pharmaceuticals Ltd.,Rumavet,Antimony Potassium Tartrate + Ferrous Sulphate,2 gm + 2 gm,Bolus,Veterinary,083-0364-077
1059,Globe Pharmaceuticals Ltd.,Antirox Vet,Choline + Cobalt Sulfate + Cyanocobalamin + Ferrous Sulphate + Vitamin B1,9.1 mg + 50 mg + 20 mcg + 100 mg + 25 mg,Tablet,Veterinary,083-0368-077
1060,Globe Pharmaceuticals Ltd.,Chemodine (Vet),Sulphadimidine,5 gm,Bolus,Veterinary,083-0425-077
1061,Globe Pharmaceuticals Ltd.,Chemodine (Vet),Sulphadimidine,33.3 gm/100 ml,Injection,Veterinary,083-0426-077
1062,Globe Pharmaceuticals Ltd.,Promin Bolus Vet,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,083-0450-077
1063,Globe Pharmaceuticals Ltd.,Sindox Vet Powder,Doxycycline Hydrochloride + Tylosin Tartrate,250 mg + 200 mg/gm,Powder,Veterinary,083-0451-077
1064,Globe Pharmaceuticals Ltd.,Aminomax Vet,Calcium Chloride + D-Pantothenol + DL-Methionine + Dextrose + L-Arginine Hcl + L-Cysteine Hcl + L-Histidine Hcl + L-Isolencine + L-Leucine + L-Lysine HCl + L-Phenylalamine + L-Threonine + L-Tryptophane + L-Valine + Magnesium Sulphate + Monosodium Glutamate + Nicotinamide + Potassium Chloride + Pyridoxine + Riboflavin + Sodium Acetate + Thiamine Hydrochloride,2 mg + .1 mg + .525 mg + 50 mg + 1.425 mg + .02 mg + .02 mg + .525 mg + .6 mg + .525 mg + .35 mg + .35 mg + .175 mg + .525 mg + 2 mg + .08 mg + 3 mg + 2 mg + .1 mg + .05 mg + 7.5 mg + .1 mg/ml,Injection,Veterinary,083-0499-077
1065,Globe Pharmaceuticals Ltd.,Kaprovet Bolus,Ciprofloxacin,1 gm,Bolus,Veterinary,083-0580-077
1066,Globe Pharmaceuticals Ltd.,Coxina,Sulfaclozine,30%,Powder,Veterinary,083-0369-077
1067,Globe Pharmaceuticals Ltd.,CM-Vet Inj.,Chlorpheniramine Maleate,10 mg/ml,Injection,Veterinary,083-0289-077
1068,Globe Pharmaceuticals Ltd.,Pol Vet Bolus,Paracetamol,2 gm,Bolus,Veterinary,083-0260-077
1069,Globe Pharmaceuticals Ltd.,Phosvet Inj. (Vet),Cyanocobalamin + Toldimfos Sodium,5 mg + 20 gm/100 ml,Injection,Veterinary,083-0290-077
1070,Globe Pharmaceuticals Ltd.,N-Nil Vet,Nitroxynil,34 gm/100 ml,Injection,Veterinary,083-0582-077
1071,Gonoshasthaya Pharmaceuticals Ltd.,G Neomycin,Neomycin Sulphate,5 mg/gm,Ointment,Veterinary,185-0160-077
1072,Gentry Pharmaceuticals Ltd.,Pyroba Vet,Paracetamol,2 gm,Bolus,Veterinary,040-0039-077
1073,Gentry Pharmaceuticals Ltd.,Metoba Vet,Metronidazole,2 gm,Bolus,Veterinary,040-0040-077
1074,Gentry Pharmaceuticals Ltd.,Oxyba Vet,Oxytetracycline,500 mg,Bolus,Veterinary,040-0041-077
1075,Gentry Pharmaceuticals Ltd.,Alrex Vet,Albendazole,600 mg,Bolus,Veterinary,040-0042-077
1076,Gentry Pharmaceuticals Ltd.,Rumin Vet,Choline + Cobalt + Cyanocobalamin + Ferrous Sulphate + Vitamin B1,9.1 mg + 50 mg + 20 mcg + 100 mg + 25 mg,Bolus,Veterinary,040-0043-077
1077,Gentry Pharmaceuticals Ltd.,Sulba Vet 3,Sulphadiazine + Sulphadimidine + Sulphapyridine,1.666 gm + 1.666 gm + 1.666 gm,Bolus,Veterinary,040-0044-077
1078,Gentry Pharmaceuticals Ltd.,Nasol AD3E Vet,Vitamin A + Vitamin D3 + Vitamin E,1 Lac IU + 20000 IU + 20 mg/ml,Liquid,Veterinary,040-0046-077
1079,Gentry Pharmaceuticals Ltd.,Oxyba Vet,Oxytetracycline,20 gm/100 gm,Powder,Veterinary,040-0053-077
1080,Gentry Pharmaceuticals Ltd.,Doxipol,Doxycycline,100 mg/gm,Powder,Veterinary,040-0054-077
1081,Gentry Pharmaceuticals Ltd.,Poliva,Levamisole,200 mg/gm,Powder,Veterinary,040-0055-077
1082,Gentry Pharmaceuticals Ltd.,Maxgard,Tiamulin Hydrogen Fumerate,45%,Powder,Veterinary,040-0056-077
1083,Gentry Pharmaceuticals Ltd.,Ampropol,Amprolium + Sulfaquinoxaline Sodium + Vitamin K,170 gm + 170 gm + 1 gm/KG,Powder,Veterinary,040-0047-077
1084,Gentry Pharmaceuticals Ltd.,Sulba-T,Sulphadiazine + Trimethoprim,1000 mg + 200 mg,Bolus,Veterinary,040-0050-077
1085,Gentry Pharmaceuticals Ltd.,Polflox,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,040-0051-077
1086,Gentry Pharmaceuticals Ltd.,Poliva-T Vet,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,040-0052-077
1087,Gentry Pharmaceuticals Ltd.,Polflox Vet,Ciprofloxacin,750 mg,Bolus,Veterinary,040-0057-077
1088,Gentry Pharmaceuticals Ltd.,Sulba-T Vet,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,Veterinary,040-0058-077
1089,Gentry Pharmaceuticals Ltd.,FMD Clean Vet,Natril Carbonate,4 gm/100 ml,Solution,Veterinary,040-0059-077
1090,Gentry Pharmaceuticals Ltd.,Polcough Vet,Bromhexine Hydrochloride + Phenylbutazone,1 gm + 5 gm/100 ml,Oral Solution,Veterinary,040-0060-077
1091,Gentry Pharmaceuticals Ltd.,Neo-Max Vet,Neomycin Sulphate,50 gm/100 gm,Powder,Veterinary,040-0065-077
1092,Gentry Pharmaceuticals Ltd.,Rumin-DS Vet,Choline Bitartrate + Cobalt Sulfate + Cyanocobalamin + Ferrous Sulphate + Thiamine Mononitrate (B1),18.2 mg + 100 mg + 40 mcg + 200 mg + 50 mg,Bolus,Veterinary,040-0067-077
1093,Gentry Pharmaceuticals Ltd.,Gcotil Vet,Tilmicosin,250 mg/ml,Oral Solution,Veterinary,040-0066-077
1094,Gentry Pharmaceuticals Ltd.,Promigen Vet,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,040-0068-077
1095,Gentry Pharmaceuticals Ltd.,Tolcox Vet Oral Solution,Toltrazuril,2.5 gm/100 ml,Solution,Veterinary,040-0070-077
1096,Gentry Pharmaceuticals Ltd.,Geniflor Vet,Florfenicol,20 gm/100 ml,Oral Solution,Veterinary,040-0076-077
1097,Gentry Pharmaceuticals Ltd.,G-20 VET,Gentamicin,20 gm/100 gm,Oral Powder,Veterinary,040-0077-077
1098,Gentry Pharmaceuticals Ltd.,Tylocare,Tylosin,20 gm/100 gm,Powder,Veterinary,040-0080-077
1099,Gentry Pharmaceuticals Ltd.,Enroxin Vet Oral,Enrofloxacin,10 gm/100 gm,Powder,Veterinary,040-0072-077
1100,Gentry Pharmaceuticals Ltd.,Marbocin vet,Marbofloxacin,50 mg,Bolus,Veterinary,040-0073-077
1101,Gentry Pharmaceuticals Ltd.,Metabolin vet,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,040-0081-077
1102,Gentry Pharmaceuticals Ltd.,Demisone vet,Dexamethasone Sodium Phosphate,2 mg/ml,Injection,Veterinary,040-0082-077
1103,Gentry Pharmaceuticals Ltd.,Mectigen vet,Ivermectin,10 mg/ml,Injection,Veterinary,040-0084-077
1104,Gentry Pharmaceuticals Ltd.,Marbocin Vet,Marbofloxacin,100 mg/ml,Injection,Veterinary,040-0085-077
1105,Gentry Pharmaceuticals Ltd.,Tolfameen,Tolfenamic Acid,4 gm/100 ml,Injection,Veterinary,040-0087-077
1106,Guardian Healthcare Ltd.,Gulben Vet,Albendazole,600 mg,Bolus,Veterinary,346-0002-077
1107,Guardian Healthcare Ltd.,Trical Bolus Vet,Levamisole + Triclabendazole,600 mg + 900 mg,Bolus,Veterinary,346-0001-077
1108,Guardian Healthcare Ltd.,Ciprogurad Vet,Ciprofloxacin,750 mg,Bolus,Veterinary,346-0003-077
1109,Guardian Healthcare Ltd.,Rumitab,Antimony Potassium Tartrate + Ferrous Sulphate,2 gm + 2 gm,Bolus,Veterinary,346-0004-077
1110,Guardian Healthcare Ltd.,Bfat DS,Choline Bitartrate + Cobalt Sulfate + Cyanocobalamin + Ferrous Sulphate + Thiamine Mononitrate (B1),18.2 mg + 100 mg + 40 mcg + 200 mg + 50 mg,Bolus,Veterinary,346-0005-077
1111,Guardian Healthcare Ltd.,Gcyclin Vet,Oxytetracycline,20 gm/100 gm,Powder,Veterinary,346-0006-077
1112,Guardian Healthcare Ltd.,Gcyclin Vet,Oxytetracycline,500 mg,Bolus,Veterinary,346-0007-077
1113,Guardian Healthcare Ltd.,Ciproguard Vet,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,346-0008-077
1114,Guardian Healthcare Ltd.,Gspirin,Acetylsalicylic Acid + Ascorbic Acid,60 gm + 6.65 gm/100 gm,Powder,Veterinary,346-0016-077
1115,Guardian Healthcare Ltd.,Metrogard,Metronidazole,2 gm,Bolus,Veterinary,346-0017-077
1116,Guardian Healthcare Ltd.,Doxigard,Doxycycline,100 mg/gm,Powder,Veterinary,346-0015-077
1117,Guardian Healthcare Ltd.,Paranex,Levamisole,30 gm/100 gm,Powder,Veterinary,346-0019-077
1118,Guardian Healthcare Ltd.,Stomagard,Ammonium Bicarbonate + Gentian + Ginger + Nux vomica + Sodium Bicarbonate,25 gm + 1.5 gm + 1.5 gm + 7 gm + 65 gm/100 gm,Powder,Veterinary,346-0020-077
1119,Guardian Healthcare Ltd.,Microgard,Erythromycin + Sulphadiazine + Trimethoprim,18 gm + 15 gm + 3 gm/100 gm,Powder,Veterinary,346-0018-077
1120,Guardian Healthcare Ltd.,Ciproguard,Ciprofloxacin,1 gm,Bolus,Veterinary,346-0036-077
1121,Guardian Healthcare Ltd.,Strimgard,Sulphadiazine + Trimethoprim,40 gm + 8 gm/100 ml,Suspension,Veterinary,346-0039-077
1122,Guardian Healthcare Ltd.,Melgard,Meloxicam,100 mg,Bolus,Veterinary,346-0040-077
1123,Guardian Healthcare Ltd.,Protogard,Diaverdin + Nicotinamide + Sulphadimethoxine Sodium + Sulphadimidine + Vitamin K,3 gm + 3 gm + 2 gm + 20 gm + 2 gm/100 gm,Powder,Veterinary,346-0042-077
1124,Guardian Healthcare Ltd.,CMPgard,Calcium Gluconate + Dextrose + Magnesium Hypophosphite,208 mg + 200 mg + 50 mg/ml,Injection,Veterinary,346-0021-077
1125,Guardian Healthcare Ltd.,Ivergard,Ivermectin,10 mg/ml,Injection,Veterinary,346-0022-077
1126,Guardian Healthcare Ltd.,Vitagard AD3E,Vitamin A + Vitamin D3 + Vitamin E,500000 IU + 75000 IU + 50 mg/100 ml,Injection,Veterinary,346-0023-077
1127,Guardian Healthcare Ltd.,Histagard,Pheniramine Maleate,22.75 mg/ml,Injection,Veterinary,346-0024-077
1128,Guardian Healthcare Ltd.,Oxygard,Oxytetracycline,10 gm/100 ml,Injection,Veterinary,346-0025-077
1129,Guardian Healthcare Ltd.,Gentagard,Gentamicin,100 mg/ml,Injection,Veterinary,346-0027-077
1130,Guardian Healthcare Ltd.,Cyanophos,Butaphosphan + Cyanocobalamin,10 gm + 5 mg/100 ml,Injection,Veterinary,346-0028-077
1131,Guardian Healthcare Ltd.,Amoxgard,Amoxicillin,30%,Powder,Veterinary,346-0030-077
1132,Guardian Healthcare Ltd.,Hemogard,Cobalt Gluconate + Copper Gluconate + Cyanocobalamin + D-Pantothenol + Ferric Ammonium Citrate + Nicotinamide + Pyridoxine Hydrochloride + Riboflavine-5-Phosphate + Vitamin B1,7 mg + 2 mg + 1.2 mg + 200 mg + 150 mg + 1000 mg + 50 mg + 20 mg + 750 mg/10 ml,Injection,Veterinary,346-0031-077
1133,Guardian Healthcare Ltd.,Cefgard,Ceftiofur,1 gm/vial,Injection,Veterinary,346-0032-077
1134,Guardian Healthcare Ltd.,Midingard,Sulphadimidine,33.3 gm/100 ml,Injection,Veterinary,346-0033-077
1135,Guardian Healthcare Ltd.,Aminogard,Calcium Chloride + D-Pantothenol + DL-Methionine + Dextrose + L-Arginine Hcl + L-Cysteine Hcl + L-Histidine Hcl + L-Isolencine + L-Leucine + L-Lysine HCl + L-Phenylalamine + L-Threonine + L-Tryptophane + L-Valine + Magnesium Sulphate + Monosodium Glutamate + Nicotinamide + Potassium Chloride + Pyridoxine + Riboflavin + Sodium Acetate + Thiamine Hydrochloride,2 mg + .1 mg + .525 mg + 50 mg + 1.425 mg + .02 mg + .02 mg + .525 mg + .6 mg + .525 mg + .35 mg + .35 mg + .175 mg + .525 mg + 2 mg + .08 mg + 3 mg + 2 mg + .1 mg + .05 mg + 7.5 mg + .1 mg/ml,Injection,Veterinary,346-0034-077
1136,Guardian Healthcare Ltd.,Promigard,Promethazine Hydrochloride,150 mg,Bolus,Veterinary,346-0041-077
1137,Guardian Healthcare Ltd.,Ciprogard 50,Ciprofloxacin,50 mg/ml,Injection,Veterinary,346-0045-077
1138,Guardian Healthcare Ltd.,Coxistop Vet,Sulphaclozine,300 mg/gm,Powder,Veterinary,346-0046-077
1139,Guardian Healthcare Ltd.,Tyloguard,Tylosin,20 gm/100 gm,Powder,Veterinary,346-0057-077
1140,Guardian Healthcare Ltd.,Coxguard (Vet),Toltrazuril,2.5 gm/100 ml,Solution,Veterinary,346-0085-077
1141,Guardian Healthcare Ltd.,Levogard,Levofloxacin,10 gm/100 gm,Oral Powder,Veterinary,346-0104-077
1142,Incepta Pharmaceuticals Ltd. (Dhamrai Unit),Titex Vet,Oxytetracycline,20 gm/100 gm,Powder,Veterinary,366-0016-077
1143,Incepta Pharmaceuticals Ltd. (Dhamrai Unit),Beuflox Vet,Ciprofloxacin,10 gm/100 ml,Solution,Veterinary,366-0017-077
1144,Incepta Pharmaceuticals Ltd. (Dhamrai Unit),Enoxin Vet,Enrofloxacin,100 mg/ml,Solution,Veterinary,366-0018-077
1145,Incepta Pharmaceuticals Ltd. (Dhamrai Unit),Mitrax Vet,Levamisole,30 gm/100 gm,Powder,Veterinary,366-0019-077
